product_id,fullname,brand,url_part,review_url,test_bench_id,test_bench_version,released_at,first_published_at,last_updated_at,sizes_available,product_type,display_type,backlight_type_v2,dimming_zone_count,color_architecture,qd_present,qd_material,spd_verified,marketing_label,panel_type,panel_sub_type,backlight_type_rtings,spd_classification,spd_confidence,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,native_refresh_rate,resolution,ground_truth_tech,ground_truth_qd_type,match_status,scraped_at,spd_image,spd_image_local,price_size,price_best,price_source,price_amazon,price_buybox,price_bestbuy,price_list,price_per_m2,sizes_with_price,size_min,size_max,all_asins,all_bb_skus,price_per_mixed_use,mixed_usage,home_theater,gaming,sports,bright_room,color_score,brightness_score,black_level_score,contrast_ratio_score,native_contrast_score,sdr_dci_p3_coverage_pct,sdr_bt2020_coverage_pct,hdr_bt2020_coverage_itp_pct,sdr_real_scene_peak_nits,sdr_peak_10pct_nits,sdr_peak_2pct_nits,hdr_peak_100pct_nits,hdr_peak_50pct_nits,hdr_peak_25pct_nits,hdr_peak_10pct_nits,hdr_peak_2pct_nits,native_contrast,contrast_ratio,first_response_time_ms,total_response_time_ms,input_lag_1080p_ms,input_lag_4k_ms,vrr_support,hdmi_forum_vrr,hdmi_ports,hdmi_21_speed
53321,Sony BRAVIA 9,Sony,sony-bravia-9,https://www.rtings.com/tv/reviews/sony/bravia-9-qled,227,v2.2,2024-05-20 00:00:00 -0400,2024-06-14 09:41:05 -0400,2026-03-25 08:59:44 -0400,"65"" (K-65XR90); 75"" (K-75XR90); 85"" (K-85XR90)",tv,LCD,,,QD-LCD,Yes,InP,Yes,BRAVIA,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,120Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/sony-bravia-9_spd.jpg,65.0,1999.99,rtings,,,,,2523.9321511821518,3,65.0,85.0,,"6578568,6578575,6578576",238.09404761904761,8.4,8.7,7.7,8.7,8.5,8.5,9.0,8.7,9.7,5.8,88.38,67.11,54.4,1005.0,2517.0,2607.0,752.0,1274.0,2231.0,2873.0,2597.0,2792.0,292950.0,6.4,7.6,9.5,9.8,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps
39008,Sony X90L/X90CL,Sony,sony-x90l-x90cl,https://www.rtings.com/tv/reviews/sony/x90l-x90cl,227,v2.2,2023-06-06 20:00:01 -0400,2023-08-11 11:31:58 -0400,2026-03-10 09:27:33 -0400,"55"" (XR-55X90L); 65"" (XR-65X90L); 75"" (XR-75X90L); 85"" (XR-85X90L); 98"" (XR-98X90L )",tv,LCD,,,QD-LCD,Yes,InP,Yes,BRAVIA,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,120Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/sony-x90l-x90cl_spd.jpg,65.0,849.99,bestbuy,,,849.99,,1290.6965546530764,5,55.0,98.0,"B0BYPLR5JQ,B0BYPLCFDS","6544733,6544731",111.84078947368421,7.6,7.7,7.2,8.2,8.1,8.3,7.9,6.8,6.8,6.8,89.46,69.38,42.8,774.939,1261.0,1129.0,715.0,765.0,952.0,1254.0,1141.0,4163.0,49776.0,6.1,11.0,9.4,9.5,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps
117449,TCL 98QM8K,TCL,tcl-98qm8k,https://www.rtings.com/tv/reviews/tcl/98qm8k,197,v2.0.1,2025-07-01 00:00:00 -0400,2025-11-20 09:13:37 -0500,2025-11-25 17:26:32 -0500,"98"" (98QM8K)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,144Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/tcl-98qm8k_spd.jpg,,,,,,,,,0,,,,,,8.3,8.5,8.3,8.1,8.3,8.3,9.1,8.9,9.6,7.2,89.94,69.81,51.9,699.0,3642.0,4058.0,613.0,1079.0,1981.0,3909.0,4111.0,4886.0,268600.0,8.4,8.7,3.4,5.2,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps
70375,TCL NXTVISION,TCL,tcl-nxtvision,https://www.rtings.com/tv/reviews/tcl/nxtframe-qled,197,v2.0.1,2024-09-01 00:00:00 -0400,2024-10-28 11:05:30 -0400,2025-08-20 10:33:56 -0400,"55"" (55A300W); 65"" (65A300W); 75"" (75A300W); 85"" (85A300W)",tv,LCD,,,QD-LCD,Yes,InP,Yes,,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,144Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/tcl-nxtvision_spd.jpg,65.0,799.99,rtings,,,,,1124.559107937517,4,55.0,85.0,B0DCWTT39N,"6590118,6590123,6590119,6590120",140.34912280701755,5.7,5.3,6.0,6.2,6.3,6.0,4.8,4.0,3.6,6.9,84.25,57.84,25.5,299.0,332.0,333.0,355.0,330.0,330.0,330.0,330.0,4299.0,4299.0,10.0,10.8,4.6,5.8,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps
60903,TCL Q651G,TCL,tcl-q651g,https://www.rtings.com/tv/reviews/tcl/q6-q651g-qled,227,v2.2,2024-05-01 00:00:00 -0400,2024-08-30 09:48:49 -0400,2026-03-13 15:02:01 -0400,"43"" (43Q651G); 50"" (50Q651G); 55"" (55Q651G); 65"" (65Q651G); 75"" (75Q651G); 85"" (85Q651G); 98"" (98Q651G)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,60Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/tcl-q651g_spd.jpg,65.0,379.99,rtings,,,,,542.3517828988043,7,43.0,98.0,,"6579458,6579462,6579457,6579449,6579448,6579443,6579447",65.51551724137931,5.8,5.8,5.4,6.2,6.3,6.6,5.3,5.4,4.7,8.0,83.01,56.48,26.3,350.1488037,372.0,374.0,367.0,367.0,368.0,367.0,368.0,6647.0,6647.0,25.8,7.0,6.2,10.2,Yes,Yes,3 (3x HDMI 2.0),No HDMI 2.1
99831,TCL Q77K,TCL,tcl-q77k,https://www.rtings.com/tv/reviews/tcl/q77k,227,v2.2,2025-04-06 00:00:00 -0400,2025-10-14 13:19:23 -0400,2026-03-11 13:18:20 -0400,"55"" (55Q77K); 65"" (65Q77K); 75"" (75Q77K); 85"" (85Q77K); 98"" (98Q77K)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,144Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/tcl-q77k_spd.jpg,,,,,,,,,0,,,,,,5.6,5.4,6.1,5.8,5.8,6.3,4.3,4.4,3.8,7.1,84.74,58.58,23.2,246.0,304.0,305.0,288.0,288.0,288.0,288.0,288.0,4657.0,4657.0,12.5,12.5,2.9,4.8,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps
100489,TCL QM5K,TCL,tcl-qm5k,https://www.rtings.com/tv/reviews/tcl/qm5k,227,v2.2,2025-06-06 00:00:00 -0400,2025-11-12 15:03:02 -0500,2026-03-19 15:31:44 -0400,"50"" (50QM5K); 55"" (55QM5K); 65"" (65QM5K); 75"" (75QM5K); 85"" (85QM5K)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,60Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/tcl-qm5k_spd.jpg,65.0,899.99,bestbuy,,,899.99,,850.6437609192155,5,50.0,85.0,,"6625833,6625835,6625874,6625834,6643446",132.3514705882353,6.8,6.9,6.5,7.3,7.3,6.5,6.7,7.6,7.8,7.6,81.85,56.49,27.6,491.0,676.0,522.0,455.0,679.0,890.0,660.0,484.0,5628.0,96178.0,11.0,11.5,4.5,9.7,Yes,Yes,"3 (2x HDMI 2.0, 1x HDMI 2.1)",48 Gbps
88607,TCL QM6K,TCL,tcl-qm6k,https://www.rtings.com/tv/reviews/tcl/qm6k,227,v2.2,2025-02-10 00:00:00 -0500,2025-04-02 11:36:38 -0400,2026-03-11 10:10:43 -0400,"55"" (55QM6K); 65"" (65QM6K); 75"" (75QM6K); 85"" (85QM6K); 98"" (98QM6K)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,144Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/tcl-qm6k_spd.jpg,65.0,529.99,rtings,,,,,736.6363099186715,4,65.0,98.0,"B0F2JLGW8H,B0F2JLYVDD","6617496,6617498,6617497,6617500,6617499",74.64647887323945,7.1,7.2,7.2,6.9,7.0,7.2,6.5,7.6,8.1,7.9,83.71,57.93,30.5,429.28,642.0,513.0,453.0,697.0,890.0,698.0,544.0,6471.0,118059.0,11.2,11.5,3.1,4.7,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps
60899,TCL QM751G,TCL,tcl-qm751g,https://www.rtings.com/tv/reviews/tcl/qm7-qm751g-qled,227,v2.2,2024-05-01 00:00:00 -0400,2024-08-21 10:16:40 -0400,2026-03-16 10:22:42 -0400,"55"" (55QM751G); 65"" (65QM751G); 75"" (75QM751G); 85"" (85QM751G); 98"" (98QM751G)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,144Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/tcl-qm751g_spd.jpg,75.0,1654.99,amazon_3p,,,,,1367.7603305785124,3,65.0,98.0,"B0D4Y381D7,B0CZLXG2ZB,B0CZML9HLD,B0D4XKYVG1,B0CZLXPR65",,212.17820512820512,7.8,8.0,7.8,7.7,7.8,7.6,8.3,8.5,8.4,7.6,92.27,70.17,44.8,604.3966064,1509.0,1222.0,564.0,899.0,1449.0,1555.0,1315.0,5651.0,135500.0,6.3,10.0,8.1,5.2,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps
88608,TCL QM7K,TCL,tcl-qm7k,https://www.rtings.com/tv/reviews/tcl/qm7k,227,v2.2,2025-03-09 20:00:01 -0400,2025-04-14 15:22:01 -0400,2026-03-10 15:27:19 -0400,"55"" (55QM7K); 65"" (65QM7K); 75"" (75QM7K); 85"" (85QM7K); 98"" (98QM7K)",tv,LCD,,,QD-LCD,Yes,InP,Yes,QLED,LCD,VA,,QD-LCD,high,451.8,21.5,534.3,32.6,625.8,39.3,144Hz,4k,,,NO_GT,2026-04-20T14:29:23.039939+00:00,https://i.rtings.com/assets/sample-images/tv/spd-large.jpg?format=auto,spd_images/tcl-qm7k_spd.jpg,65.0,777.99,rtings,,,,,1040.8777931291368,5,55.0,98.0,,"6621468,6621470,6621474,6621467,6621472",99.74230769230769,7.8,7.9,7.8,7.8,8.0,7.5,7.8,8.4,9.6,8.7,89.42,66.06,40.0,600.0,1568.0,1233.0,518.0,854.0,1408.0,1731.0,1312.0,8392.0,265133.0,6.2,10.3,3.5,5.3,Yes,Yes,"4 (2x HDMI 2.0, 2x HDMI 2.1)",48 Gbps
