amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_history_points,new_3p_price_history_points,list_price_history_points,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,list_price_90d_min,list_price_90d_avg,list_price_90d_max
B0CVSH9G8V,,,,,,,1.0,1.0,,,,,,,,,,
B0CW27D646,,,,,,,,,,,,,,,,,,
B0CW27SNZS,,,,,,,1.0,1.0,,,,,,,,,,
B0CW27J5LR,,,,,,,,,,,,,,,,,,
B0CW27DXJX,,,,,,,,,,,,,,,,,,
B0CW2557NX,,,,,,,1.0,1.0,,,,,,,,,,
B0CW26R7H8,,,,,,,1.0,1.0,,,,,,,,,,
B0CV9GM5L3,"Samsung 98-Inch Class Neo QLED 4K QN90D Series Mini LED, Neo Quantum HDR+ Smart TV w/Dolby Atmos, Object Tracking Sound+, Motion Xcelerator, Real Depth Enhancer Pro, Alexa Built-in (QN98QN90D, 2024)",Samsung,11394.87,4899.0,,4899.0,1588.0,827.0,1762.0,5996.0,9482.801666666666,12006.06,4898.5,5619.471428571429,6497.99,4899.0,5532.20926380368,6497.99
B0CY4TQ91Q,"Hisense 55-Inch Class U8 Series Mini-LED ULED 4K UHD Google Smart TV (55U8N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming Pro, 144Hz Game Mode Pro, Alexa Compatibility",Hisense,,1100.0,,,548.0,669.0,1293.0,,,,849.99,1033.04,1156.94,1125.68,1138.7235416666665,1156.94
B0CY4SM6P8,"Hisense 65-Inch Class U8 Series Mini-LED ULED 4K UHD Google Smart TV (65U8N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming Pro, 144Hz Game Mode Pro, Alexa Compatibility",Hisense,,,,,230.0,209.0,1527.0,,,,1420.99,1420.99,1420.99,,,
B0CY4QVD4C,"Hisense 75-Inch Class U8 Series Mini-LED ULED 4K UHD Google Smart TV (75U8N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming Pro, 144Hz Game Mode Pro, Alexa Compatibility",Hisense,,,,,234.0,263.0,1038.0,,,,929.99,1296.984,1534.98,,,
B0D3SX2PN4,"Hisense 85-Inch Class U8 Series Mini-LED ULED 4K UHD Google Smart TV (85U8N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming Pro, 144Hz Game Mode Pro, Alexa Compatibility",Hisense,,,,,327.0,233.0,961.0,2434.67,2609.4814285714288,2657.71,2199.98,2199.98,2199.98,,,
B0CZ6VX5J4,,,,,,,1.0,1.0,,,,,,,,,,
B0D3WRYFD9,,,,,,,1.0,1.0,,,,,,,,,,
B0D3WG1HCS,,,,,,,1.0,1.0,,,,,,,,,,
B0CVSJQRNZ,"LG 55-Inch Class UT75 Series LED Smart TV 4K Processor Flat Screen AI-Powered with Alexa Built-in (55UT7570PUB, 2024)",LG,,422.69,,422.69,120.0,384.0,463.0,,,,397.91,421.2846875,422.69,422.0,422.6623913043477,422.98
B0D3WP2JLD,,,,,,,1.0,1.0,,,,,,,,,,
B0CVSJ3HS7,"LG 70-Inch Class UT75 Series LED Smart TV 4K Processor Flat Screen AI-Powered with Alexa Built-in (70UT7590PUA, 2024)",LG,,,,,5.0,5.0,7.0,,,,,,,,,
B0CWVLNCQ6,"Samsung 55-Inch Class OLED 4K S85D Series HDR Smart TV w/Dolby Atmos, Object Tracking Sound Lite, Contour Design, Motion Xcelerator, Real Depth Enhancer, Alexa Built-in (QN55S85D, 2024 Model)",Samsung,,857.95,,868.0,138.0,1437.0,2086.0,,,,783.48,912.05125,997.95,847.95,925.3820430107527,997.99
B0CXR1D43S,,,,,,,1.0,1.0,,,,,,,,,,
B0CXQVQ5GQ,,,,,,,1.0,1.0,,,,,,,,,,
B0CWVH1XXZ,"Samsung 83-Inch Class OLED 4K S85D Series HDR Smart TV w/Dolby Atmos, Object Tracking Sound Lite, Laser Slim Design, Motion Xcelerator, Real Depth Enhancer, Alexa Built-in (QN83S85D, 2024 Model)",Samsung,,2147.95,,2247.95,66.0,425.0,558.0,,,,2147.95,2147.95,2147.95,2147.95,2147.95,2147.95
B0CY4RD4KT,"Hisense 65-Inch Class U7 Series Mini-LED ULED 4K UHD Google Smart TV (65U7N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming, 144Hz Game Mode Pro, VRR, Alexa Compatibility",Hisense,,1292.31,,,242.0,672.0,679.0,599.0,900.6209999999999,1018.42,599.0,999.2690909090908,1292.31,970.88,986.7266666666666,1018.42
B0D1FQCHD2,,,,,,,1.0,1.0,,,,,,,,,,
B0CY56VHS4,"Hisense A7 Series 43-Inch Class 4K UHD Smart Google TV with Voice Remote, Game Mode Plus, Chromecast Built-in (43A7N, 2024 Model)",Hisense,,298.0,,,318.0,857.0,670.0,,,,298.0,303.6227272727273,310.37,310.37,319.77599999999995,333.84
B0CY4QPSVS,"Hisense A7 Series 50-Inch Class 4K UHD Smart Google TV with Voice Remote, Game Mode Plus, Chromecast Built-in (50A7N, 2024 Model)",Hisense,,399.95,,,87.0,388.0,222.0,,,,399.95,425.25,450.55,,,
B0CY4LQ851,"Hisense A7 Series 55-Inch Class 4K UHD Smart Google TV with Voice Remote, Game Mode Plus, Chromecast Built-in (55A7N, 2024 Model)",Hisense,,459.99,,,68.0,999.0,156.0,,,,459.99,465.21538461538455,468.98,,,
B0CY4SW14M,"Hisense A7 Series 65-Inch Class 4K UHD Smart Google TV with Voice Remote, Game Mode Plus, Chromecast Built-in (65A7N, 2024 Model)",Hisense,,549.99,,549.99,180.0,499.0,408.0,,,,549.99,549.99,549.99,,,
B0D6SS8Z1X,"Samsung 75-Inch Class QLED 4K Q70D Series Quantum HDR Smart TV with Object Tracking Sound Lite, Motion Xcelerator, Eye Comfort Mode, Gaming Hub, Alexa Built-in (QN75Q70D, 2024 Model)",Samsung,,1088.0,,1088.0,1189.0,1854.0,2055.0,,,,1088.0,1621.6,1767.11,1099.0,1602.78125,1765.7
