bestbuy_sku,bb_name,bb_model,bb_upc,bb_regular_price,bb_sale_price,bb_on_sale,bb_dollar_savings,bb_percent_savings,bb_price_updated,bb_url
6579443,"TCL - 85"" Class Q6-Series 4K UHD HDR QLED Smart Google TV (2024)",85Q651G,846042088541,1199.99,849.99,True,350.0,29.17,2026-02-23T00:03:07,https://api.bestbuy.com/click/-/6579443/pdp
6579449,"TCL - 65"" Class Q6-Series 4K UHD QLED Smart Google TV (2024)",65Q651G,846042088527,429.99,399.99,True,30.0,6.98,2026-03-02T00:02:41,https://api.bestbuy.com/click/-/6579449/pdp
6579457,"TCL - 55"" Class Q6-Series 4K UHD QLED Smart Google TV (2024)",55Q651G,846042088510,319.99,299.99,True,20.0,6.25,2026-03-02T00:02:54,https://api.bestbuy.com/click/-/6579457/pdp
6579458,"TCL - 43"" Class Q6-Series 4K UHD HDR QLED Smart Google TV (2024)",43Q651G,846042090377,239.99,219.99,True,20.0,8.33,2026-01-09T00:01:30,https://api.bestbuy.com/click/-/6579458/pdp
6613463,Samsung - 85” Class QN990F Series Neo QLED 8K Mini LED SamsungVision AI Smart Tizen TV (2025),QN85QN990FFXZA,887276944685,7999.99,5999.99,True,2000.0,25.0,2026-02-23T00:04:12,https://api.bestbuy.com/click/-/6613463/pdp
6613453,Samsung - 75” Class QN900F Series Neo QLED 8K Mini LED SamsungVision AI Smart Tizen TV (2025),QN75QN900FFXZA,887276936826,3799.99,3299.99,True,500.0,13.16,2026-02-17T00:04:30,https://api.bestbuy.com/click/-/6613453/pdp
6613450,Samsung - 85” Class QN900F Series Neo QLED 8K Mini LED SamsungVision AI Smart Tizen TV (2025),QN85QN900FFXZA,887276936833,5299.99,5299.99,False,0.0,0.0,2026-02-17T00:04:22,https://api.bestbuy.com/click/-/6613450/pdp
6618847,Samsung - 100” Class QN80F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),QN100QN80FFXZA,887276931890,4999.99,4499.99,True,500.0,10.0,2026-02-17T00:04:48,https://api.bestbuy.com/click/-/6618847/pdp
6621199,"Hisense - 85"" Class QD6 Series Hi-QLED 4K UHD HDR Smart Fire TV (2025)",85QD6QF,888143022864,1099.99,699.99,True,400.0,36.36,2026-03-02T00:04:29,https://api.bestbuy.com/click/-/6621199/pdp
6621210,"Hisense - 100"" Class U6 Series MiniLED QLED UHD 4K HDR Smart Fire TV (2025)",100U65QF,888143022673,3499.99,1799.99,True,1700.0,48.57,2026-02-18T06:13:35,https://api.bestbuy.com/click/-/6621210/pdp
6621191,"Hisense - 85"" Class U6 Series MiniLED QLED UHD 4K HDR Smart Fire TV (2025)",85U65QF,888143022680,1999.99,937.99,True,1062.0,53.1,2026-02-18T06:07:42,https://api.bestbuy.com/click/-/6621191/pdp
6621484,"Hisense - 50"" Class QD7 Series MiniLED QLED 4K UHD Smart Fire TV (2025)",50QD7QF,888143022840,399.99,289.99,True,110.0,27.5,2026-02-16T10:25:01,https://api.bestbuy.com/click/-/6621484/pdp
6621190,"Hisense - 75"" Class U6 Series MiniLED QLED UHD 4K Smart Fire TV (2025)",75U65QF,888143022697,1299.99,649.99,True,650.0,50.0,2026-02-25T06:12:44,https://api.bestbuy.com/click/-/6621190/pdp
6620385,"Hisense - 55"" Class U6 Series MiniLED QLED UHD 4K HDR Smart Fire TV (2025)",55U65QF,888143022710,799.99,429.99,True,370.0,46.25,2026-03-02T00:04:17,https://api.bestbuy.com/click/-/6620385/pdp
6621209,"Hisense - 65"" Class U6 Series MiniLED QLED UHD 4K Smart Fire TV (2025)",65U65QF,888143022703,999.99,579.99,True,420.0,42.0,2026-02-18T00:02:46,https://api.bestbuy.com/click/-/6621209/pdp
6635751,"LG - 55"" Class B5 Series OLED AI 4K UHD Smart webOS TV (2025)",OLED55B5PUA,195174106037,1499.99,899.99,True,600.0,40.0,2026-02-15T00:03:18,https://api.bestbuy.com/click/-/6635751/pdp
6621201,"Hisense - 50"" Class QD6 Series Hi-QLED 4K UHD Smart Fire TV (2025)",50QD6QF,888143022901,329.99,249.99,True,80.0,24.24,2026-03-02T00:04:30,https://api.bestbuy.com/click/-/6621201/pdp
6633087,"LG - 65"" Class B5 Series OLED AI 4K UHD Smart webOS TV (2025)",OLED65B5PUA,195174106099,1299.99,1199.99,True,100.0,7.69,2026-02-25T08:36:29,https://api.bestbuy.com/click/-/6633087/pdp
6621207,"Hisense - 65"" Class QD6 Series Hi-QLED 4K UHD HDR Smart Fire TV (2025)",65QD6QF,888143022888,499.99,339.99,True,160.0,32.0,2026-02-23T18:50:26,https://api.bestbuy.com/click/-/6621207/pdp
6621813,"LG - 77"" Class B5 Series OLED AI 4K UHD Smart webOS TV (2025)",OLED77B5PUA,195174106143,2999.99,1499.99,True,1500.0,50.0,2026-03-02T00:04:29,https://api.bestbuy.com/click/-/6621813/pdp
6621192,"Hisense - 43"" Class QD6 Series Hi-QLED 4K UHD Smart Fire TV (2025)",43QD6QF,888143022918,299.99,199.99,True,100.0,33.33,2026-03-02T00:04:17,https://api.bestbuy.com/click/-/6621192/pdp
6621212,"Hisense - 55"" Class QD6 Series Hi-QLED 4K UHD HDR Smart Fire TV (2025)",55QD6QF,888143022895,379.99,259.99,True,120.0,31.58,2026-02-18T00:02:54,https://api.bestbuy.com/click/-/6621212/pdp
6635292,"LG - 48"" Class B5 Series OLED AI 4K UHD Smart webOS TV (2025)",OLED48B5PUA,195174105948,1299.99,649.99,True,650.0,50.0,2026-02-17T00:05:47,https://api.bestbuy.com/click/-/6635292/pdp
6617395,Samsung - 85” Class Q8F Series QLED 4K UHD SamsungVision AI Smart Tizen TV (2025),QN85Q8FAAFXZA,887276999197,1699.99,1499.99,True,200.0,11.76,2026-02-26T00:05:14,https://api.bestbuy.com/click/-/6617395/pdp
6614340,Samsung - 85” Class QN70F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),QN85QN70FAFXZA,887276929835,1799.99,1699.99,True,100.0,5.56,2026-02-17T00:04:23,https://api.bestbuy.com/click/-/6614340/pdp
6625616,"Roku - 55"" Class Pro Series 4K QLED Mini-LED Smart RokuTV (2025)",55R8C5,829610008042,899.99,689.99,True,210.0,23.33,2026-02-24T05:45:59,https://api.bestbuy.com/click/-/6625616/pdp
6620648,Samsung - 75” Class Q8F Series QLED 4K UHD SamsungVision AI Smart Tizen TV (2025),QN75Q8FAAFXZA,887276999173,1099.99,1099.99,False,0.0,0.0,2026-02-24T00:03:11,https://api.bestbuy.com/click/-/6620648/pdp
6621808,"LG - 55"" Class 85A Series QNED evo AI MiniLED 4K UHD Smart  webOS TV (2025)",55QNED85AUA,195174102626,799.99,799.99,False,0.0,0.0,2026-02-17T00:05:12,https://api.bestbuy.com/click/-/6621808/pdp
6635801,"Hisense - 98"" Class QD5 Series Hi-QLED 4K UHD Smart Google TV (2025)",98QD5QG,888143023847,2299.99,1299.99,True,1000.0,43.48,2026-03-02T00:05:14,https://api.bestbuy.com/click/-/6635801/pdp
6614341,Samsung - 55” Class QN70F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),QN55QN70FAFXZA,887276929705,799.99,699.99,True,100.0,12.5,2026-03-01T00:03:40,https://api.bestbuy.com/click/-/6614341/pdp
6639193,"Samsung - 85"" Class U7900 Series UHD 4K Smart Tizen TV (2025)",UN85U7900FFXZA,887276951997,899.99,899.99,False,0.0,0.0,2026-02-23T00:05:46,https://api.bestbuy.com/click/-/6639193/pdp
6639212,"Samsung - 70"" Class U7900 Series UHD 4K Smart Tizen TV (2025)",UN70U7900FFXZA,887276951881,569.99,399.99,True,170.0,29.83,2026-02-23T10:20:14,https://api.bestbuy.com/click/-/6639212/pdp
6617398,Samsung - 65” Class Q8F Series QLED 4K UHD SamsungVision AI Smart Tizen TV (2025),QN65Q8FAAFXZA,887276999210,899.99,699.99,True,200.0,22.22,2026-02-27T00:03:37,https://api.bestbuy.com/click/-/6617398/pdp
6640550,"Samsung - 58"" Class U7900 Series UHD 4K Smart Tizen TV (2025)",UN58U7900FFXZA,887276951867,429.99,299.99,True,130.0,30.23,2026-02-23T10:20:14,https://api.bestbuy.com/click/-/6640550/pdp
6621826,"LG - 65"" Class 85A Series QNED evo AI MiniLED 4K UHD Smart  webOS TV (2025)",65QNED85AUA,195174102640,1199.99,899.99,True,300.0,25.0,2026-03-02T00:04:31,https://api.bestbuy.com/click/-/6621826/pdp
6614338,Samsung - 75” Class QN70F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),QN75QN70FAFXZA,887276929828,1199.99,1199.99,False,0.0,0.0,2026-02-17T00:04:30,https://api.bestbuy.com/click/-/6614338/pdp
6621816,"LG - 75"" Class 85A Series QNED evo AI MiniLED 4K UHD Smart webOS TV (2025)",75QNED85AUA,195174103876,1599.99,1099.99,True,500.0,31.25,2026-03-02T00:04:42,https://api.bestbuy.com/click/-/6621816/pdp
6639217,"Samsung - 43"" Class U7900 Series UHD 4K Smart Tizen TV (2025)",UN43U7900FFXZA,887276951973,259.99,199.99,True,60.0,23.08,2026-02-23T10:13:34,https://api.bestbuy.com/click/-/6639217/pdp
6614343,Samsung - 65” Class QN70F Series Neo QLED Mini LED 4K UHD SamsungVision AI Smart Tizen TV (2025),QN65QN70FAFXZA,887276929811,999.99,899.99,True,100.0,10.0,2026-02-17T00:04:30,https://api.bestbuy.com/click/-/6614343/pdp
6639197,"Samsung - 75"" Class U7900 Series UHD 4K Smart Tizen TV (2025)",UN75U7900FFXZA,887276951904,649.99,449.99,True,200.0,30.77,2025-11-17T00:05:33,https://api.bestbuy.com/click/-/6639197/pdp
6632320,"Samsung - 50"" Class U7900 Series UHD 4K Smart Tizen TV (2025)",UN50U7900FFXZA,887276951980,299.99,249.99,True,50.0,16.67,2026-02-25T00:03:15,https://api.bestbuy.com/click/-/6632320/pdp
6639210,"Samsung - 65"" Class U7900 Series UHD 4K Smart Tizen TV (2025)",UN65U7900FFXZA,887276951874,469.99,329.99,True,140.0,29.79,2026-01-07T00:00:25,https://api.bestbuy.com/click/-/6639210/pdp
6632331,"Samsung - 55"" Class U7900 Series UHD 4K Smart Tizen TV (2025)",UN55U7900FFXZA,887276951843,379.99,279.99,True,100.0,26.32,2026-02-09T00:05:34,https://api.bestbuy.com/click/-/6632331/pdp
