product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,best_price,price_source,amazon_price,buy_box_price,list_price,bestbuy_price,bestbuy_regular,rtings_price,price_per_m2,screen_area_m2,price_date
49541,10500,48.0,B0CVRMHRSZ,,889.0,amazon,889.0,,889.0,,,889.0,1778.0,0.5,2026-03-02
49541,10501,55.0,,11096117,1149.0,rtings,,,,,,1149.0,1767.6923076923076,0.65,2026-03-02
49541,10502,65.0,,6578042,1274.99,bestbuy,,,,1274.99,1499.99,1274.99,1401.087912087912,0.91,2026-03-02
49541,10503,77.0,B0D3WWGP6T,6578044,1975.99,bestbuy,,,,1975.99,2499.99,1975.99,1543.7421875,1.28,2026-03-02
49541,10504,83.0,B0CVRVJLCF,,2526.99,amazon_3p,,,,,,,1695.96644295302,1.49,2026-03-02
56163,10542,43.0,B0CV9HY4J9,,604.0,amazon_3p,,,604.0,,,604.0,1510.0,0.4,2026-03-02
56163,10543,50.0,B0CVSHWGXX,,1299.99,rtings,,,,,,1299.99,2407.3888888888887,0.54,2026-03-02
56163,10544,55.0,B0CVSJ1ZBP,6576585,799.99,bestbuy,,,,799.99,999.99,799.99,1230.753846153846,0.65,2026-03-02
56163,10545,65.0,B0CVSJKFNK,6576593,999.99,bestbuy,,,,999.99,1299.99,999.99,1098.89010989011,0.91,2026-03-02
56163,10546,75.0,B0CVSJS9DM,6576594,1799.99,bestbuy,,,,1799.99,2199.99,1799.99,1487.595041322314,1.21,2026-03-02
56163,10547,85.0,B0CVSH9G8V,,4299.99,rtings,,,,,,4299.99,2756.4038461538457,1.56,2026-03-02
49719,10567,55.0,B0CV9RG8Q5,,1039.35,amazon_3p,,,1039.35,,,1039.35,1598.9999999999998,0.65,2026-03-02
49719,10568,65.0,B0CW27D646,,1599.99,rtings,,,,,,1599.99,1758.2307692307693,0.91,2026-03-02
49719,10569,75.0,B0CW27SNZS,6576434,1624.99,bestbuy,,,,1624.99,2499.99,1624.99,1342.9669421487604,1.21,2026-03-02
49719,10570,85.0,,6576433,2089.99,bestbuy,,,,2089.99,2199.99,2089.99,1339.7371794871792,1.56,2026-03-02
49720,10608,43.0,B0CV9RV77Z,,674.95,amazon_3p,,,676.0,,,676.0,1687.375,0.4,2026-03-02
49720,10610,50.0,,,1399.99,rtings,,,,,,1399.99,2592.574074074074,0.54,2026-03-02
49720,10611,55.0,,,1499.99,rtings,,,,,,1499.99,2307.6769230769232,0.65,2026-03-02
49720,10612,65.0,B0CW27DXJX,,1699.99,rtings,,,,,,1699.99,1868.120879120879,0.91,2026-03-02
49720,10613,75.0,B0CW2557NX,6576427,1499.99,rtings,,,,,,1499.99,1239.6611570247935,1.21,2026-03-02
49720,10614,85.0,B0CW26R7H8,,3499.99,rtings,,,,,,3499.99,2243.583333333333,1.56,2026-03-02
49720,10615,98.0,,,12999.99,rtings,,,,,,12999.99,6280.188405797102,2.07,2026-03-02
50406,10616,55.0,B0CY4TQ91Q,,1124.98,amazon_3p,,,1124.98,,,1124.98,1730.7384615384615,0.65,2026-03-02
50406,10617,65.0,B0CY4SM6P8,,,,,,,,,,,0.91,2026-03-02
