amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,new_3p_price_history_points,list_price_90d_min,list_price_90d_avg,list_price_90d_max,list_price_history_points,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max
B0CCW7JLYH,"Alienware AW2724DM Gaming Monitor - 27"" QHD (2560 x 1440) 180Hz w Overclock, AMD FreeSync Premium Pro, NVIDIA G-SYNC, VESA Display - Black,Black/Silver",Alienware,,289.94,,,716.0,199.99,283.925,304.98,799.0,274.99,299.92606741573036,304.99,5793.0,199.99,320.765,364.84
B0C633799X,"LG 32"" Ultragear 4K UHD (3840x2160) Gaming Monitor, 144Hz, 1ms, VESA DisplayHDR 400, G-SYNC and AMD FreeSync Premium, HDMI 2.1, DisplayPort, 4-Pole HP Out DTS HP:X, Tilt/Height/Pivot Stand, Black",LG,599.99,599.99,,,744.0,552.72,565.2758620689655,599.99,596.0,552.72,561.0084210526314,567.37,2590.0,552.72,564.872,599.99
B0C63B9CZX,"LG 27"" Ultragear 4K UHD (3840x2160) Gaming Monitor, 144Hz, 1ms, VESA DisplayHDR 400, G-SYNC and AMD FreeSync Premium, HDMI 2.1, DisplayPort, 4-Pole HP Out DTS HP:X, Tilt/Height/Pivot Stand, Black",LG,,772.32,,,519.0,772.32,772.325,772.33,673.0,,,,2503.0,,,
B0C63HDHPR,"LG 27GR83Q-B 27-inch Ultragear QHD (2560x1440) IPS Gaming Monitor, 240Hz, 1ms, DisplayHDR 400, G-Sync AMD FreeSync Premium, HDMI 2.1 DisplayPort, 4-Pole HP Out DTS GP:X, Tilt/Height/Pivot Stand, Black",LG,489.99,329.99,,334.95,1401.0,289.99,314.05857142857144,344.0,1265.0,289.99,324.59404411764706,496.99,6207.0,289.99,428.9338297872341,499.0
B0CDQM55C9,"Samsung 57"" Odyssey Neo G9 (G95NC) Series Dual 4K UHD 1000R Curved Gaming Monitor, 240Hz, 1ms with DisplayPort 2.1, Quantum Mini-LED, DisplayHDR 1000, AMD FreeSync Premium Pro, LS57CG952NNXZA",Samsung,1599.99,1599.99,,1599.99,402.0,1449.99,1773.7139622641514,2299.99,550.0,1449.99,1784.0241176470586,2299.99,1354.0,1480.18,1805.1174074074074,2299.99
B0BQPSX5CR,"ASUS ProArt Display 27” 4K HDR Professional Monitor (PA279CRV) - IPS, UHD (3840 x 2160), 99% DCI-P3/Adobe RGB, ΔE < 2, Calman Verified, USB-C PD 96W, DisplayPort, Daisy-Chain, Ergonomic, 3yr Warranty",ASUS,359.0,359.0,,359.0,327.0,339.98,381.6383333333333,429.0,583.0,339.98,376.2775,429.0,832.0,347.36,382.72200000000004,429.0
B0C8ZJKPWC,"AOC Q27G3XMN 27"" QHD Gaming Monitor, 2560x1440, Mini LED, 180Hz 1ms GtG, HDR 1000, sRGB137.5%, HDMI 2.0 x 1, DisplayPort 1.4 x1, Adaptive Sync, 3-Year Zero-Bright-dot",AOC,269.99,269.99,,269.99,194.0,269.99,290.99,299.99,194.0,269.99,295.82333333333327,299.99,388.0,269.99,288.3233333333333,299.99
B0CC7S6P3K,"ASUS ROG Swift Pro PG248QP NVIDIA G-SYNC esports gaming monitor -24.1-inch FHD, 540 Hz (OC), Esports-TN panel, NVIDIA Reflex Analyzer, ULMB 2, adjustable base, ESS codec, DisplayHDR400, 3year warranty",ASUS,,,,,187.0,,,,233.0,,,,429.0,,,
B0CZSGWLD5,"Alienware AW2725DF OLED Gaming Monitor - 26.7-inch Quantom-Dot WQHD (2560x1440) 360Hz 0.03Ms Display, AMD FreeSync Premium Pro, HDMI/DP/USB 3.2 Gen1, Height/Tilt/Swivel/Pivot Adjustability - Black",Alienware,599.99,596.0,,596.0,719.0,499.99,607.474074074074,636.99,639.0,596.0,625.2947663551403,649.99,3180.0,499.99,632.2313559322033,649.99
B0CSGWXVBN,LG ‎27GS95QE 27-inch Ultragear OLED Gaming Monitor QHD 1440p 240Hz 0.03ms DisplayHDR True Black 400 AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand Black,LG,679.99,679.99,,679.99,1110.0,593.05,656.8522535211266,749.99,1265.0,593.2,688.9020202020201,749.99,3228.0,593.05,692.8630612244898,896.99
B0BVWMSP1V,"LG Electronics 27GR75Q-B Ultragear Gaming Monitor 68.5 cm (27""), 2560 x 1.440, 16:9, WQHD 1440p, 99% sRGB, HDR10, 165 Hz, 1ms GtG - Black",LG,,329.9,,329.9,1.0,250.0,332.53875,394.78,598.0,250.0,325.84233333333333,396.99,3036.0,,,
B0CTS1RQ6Y,"msi MPG 271QRX QD-OLED, 27 OLED Gaming Monitor, 2560 x 1440 (QHD), 0.03ms Response time, 360Hz, True Black HDR 400, HDMI, DP Port, USB Type C, Tilt, Height, Black",msi,629.99,629.99,,629.99,198.0,629.99,678.358198757764,700.82,669.0,,,,405.0,629.99,629.99,629.99
B0D1TX35MQ,"Dell UltraSharp U4025QW 40"" Class 5K2K WUHD Curved Screen LED Monitor - 21:9",Dell,,2290.0,,,414.0,1531.2,2152.3477391304345,2599.0,1032.0,1531.2,2056.31,2299.99,3834.0,,,
B0CV27X9K7,LG 34GS95QE 34-inch Ultragear OLED Curved Gaming Monitor WQHD 1440p 800R 240Hz 0.03ms AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand Black,LG,,799.99,,799.99,796.0,649.99,795.3627272727273,1296.99,1735.0,696.99,829.0229310344827,1296.99,3493.0,649.99,891.8115555555555,1296.99
B0DCWMS4HC,LG 34GS95QE 34-inch Ultragear OLED Curved Gaming Monitor WQHD 1440p 800R 240Hz 0.03ms AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand White,LG,1063.53,1063.53,,1063.53,292.0,881.38,979.8637500000001,1063.53,329.0,899.99,1004.7399999999997,1063.99,861.0,899.99,1106.87,1296.99
B0CV26XVMD,"ASUS ROG Swift 32” 4K OLED Gaming Monitor (PG32UCDM) - UHD (3840 x 2160), QD-OLED, 240Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, Graphene Film, 99% DCI-P3, True 10-bit, 90W USB-C",ASUS,999.0,999.0,,999.0,622.0,941.19,1088.92,1299.0,851.0,941.2,1190.4750420168061,1298.74,2071.0,945.36,1210.9985000000001,1299.0
B0D1RL9D39,"GIGABYTE - AORUS FO27Q3-27"" QD OLED Gaming Monitor - QHD 2560x1440-360Hz - 0.03ms GTG - AMD FreeSync Premium Pro - Type C KVM - HDMI, DP, Type C - Height Adjustable - Black",GIGABYTE,,,,,280.0,599.99,848.66625,999.99,278.0,629.99,639.7933333333333,688.81,946.0,599.99,682.6785714285713,799.99
B0CV1Y7NLT,LG ‎32GS95UE 32-inch Ultragear OLED Gaming Monitor UHD 240Hz 0.03ms DisplayHDR True Black 400 AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand Black,LG,,1479.98,,,855.0,1031.43,1260.9324107142859,1842.98,1378.0,1030.57,1239.9407486631014,1400.94,2583.0,1234.97,1295.6964077669904,1399.99
B0D1DPFZLZ,"Samsung 27” Odyssey OLED G6 (G60SD) Series Gaming Monitor with QHD & QD-OLED, 360Hz 0.03ms, AMD FreeSync Premium Pro, Anti-Glare, Sleek Design, Cooling System, 3 Year Warranty, LS27DG602SNXZA",Samsung,699.99,699.99,,699.99,645.0,649.99,736.3064285714289,793.9,871.0,674.99,732.3105084745762,799.99,2529.0,649.99,737.0712903225809,899.99
B0D1DSXW17,"Samsung 32"" Odyssey OLED G8 (G80SD) Series 4K UHD G-Sync Compatible, QD-OLED Gaming Monitor, 240Hz, 0.03ms, Glare-Free Display, Sleek Metal Design, 3 Yr Warranty, LS32DG802SNXZA",Samsung,503.63,503.63,,503.63,416.0,420.52,687.5882352941176,1299.99,581.0,435.87,633.4054545454545,1299.99,1323.0,420.52,668.063125,1299.99
B0DHJ8B7TP,"Samsung 32"" Odyssey OLED G8 (G80SD) Series 4K UHD Smart Gaming Monitor w QD-OLED, 240Hz 0.03ms, G-Sync Compatible, Glare-Free Display, Sleek Metal Design, LS32DG800SNXZA, 3 Yr Warranty",Samsung,999.0,999.0,,999.0,193.0,779.99,934.5480952380954,1045.32,227.0,827.88,964.4613157894738,1014.63,559.0,826.24,966.734375,1136.22
B0CTSC3VS4,"msi MPG 321URX QD-OLED, 32"" 4K UHD Quantum Dot OLED Gaming Monitor, 3840 x 2160, 0.03ms, 240Hz, True Black HDR 400, 90W USB Type C, HDMI, DP Port",msi,869.0,869.0,,869.0,370.0,753.99,859.4807692307693,949.99,574.0,753.99,854.723,949.99,655.0,762.9,802.602528735632,949.99
B0DPXYZYPT,"msi MPG 321URXW QD-OLED 32-inch 3840 x 2160 (UHD) Computer Monitor, 240Hz, Adaptive-Sync, HDMI, DP Port, VESA Mountable, Tilt, Speaker, 0.03ms, White",msi,,899.0,,,288.0,810.99,931.7235416666666,971.99,359.0,810.99,889.5840000000001,971.99,483.0,804.99,822.6803636363634,979.99
B0CZWM44QP,"ASUS ROG Strix 27” 1440P OLED Gaming Monitor (XG27AQDMG) - QHD, Glossy OLED, 240Hz, 0.03ms, Custom Heatsink, Anti-flicker,Uniform Brightness, G-SYNC Compatible, 99% DCI-P3, DisplayWidget, 3yr warranty",ASUS,549.0,549.0,,549.0,206.0,549.0,624.7116,679.99,210.0,587.99,651.545,693.58,726.0,549.0,650.99,691.06
B0CVRXN6XZ,"LG 42-Inch Class OLED evo C4 Series Smart TV 4K Processor Flat Screen with Magic Remote AI-Powered with Alexa Built-in (OLED42C4PUA, 2024)",LG,,797.99,,799.0,147.0,794.95,851.1910344827586,896.99,2116.0,794.95,835.7858415841583,896.99,3153.0,,,
B0CW7TM2FR,"SAMSUNG 27-Inch Odyssey G50D Series QHD Fast IPS G-Sync Compatible Gaming Monitor, 1ms, VESA DisplayHDR 400, 180Hz, AMD FreeSync, Adjustable Stand, Eye Saver Mode, LS27DG500ENXZA",Samsung,259.99,229.99,,229.99,810.0,229.99,246.8596153846154,267.99,1179.0,229.99,267.7080952380952,279.99,2482.0,246.93,303.19777777777773,349.99
B0D7NNK43H,"ASUS ROG Swift 32” 4K OLED Gaming Monitor (PG32UCDP) - WOLED, Dual Mode (4K 240Hz, FHD 480Hz), 0.03ms, G-SYNC Compatible, Custom Heatsink, AI Gaming, 99% DCI-P3,True 10-bit, USB-C 90W, 3yr Warranty",ASUS,1199.99,1138.0,,1199.99,152.0,899.99,1188.5817647058823,1299.99,174.0,949.0,1292.9529347826087,1299.0,855.0,899.99,1140.0863636363636,1299.99
B0CV24GQ9W,"ASUS ROG Strix 27” QHD (2560x1440) HDR400 USB-C Gaming Monitor (XG27ACS), 180Hz,1ms, Fast IPS, 133% sRGB, Extreme Low Motion Blur Sync, G-Sync Compatible, DisplayWidget, Tripod Socket, 3 Year Warranty",ASUS,259.99,259.99,,259.99,870.0,199.0,261.8551351351352,280.15,1271.0,229.0,267.5205970149254,299.99,4843.0,199.0,269.1598076923077,299.99
B0D7NXSQ44,"ASUS ROG Swift OLED 27” 1440P Gaming Monitor (PG27AQDP) - WOLED, QHD, 480Hz, 0.03ms, G-SYNC Compatible, Custom Heatsink, AI Assistant, DisplayHDR400 True Black, 99% DCI-P3, True 10-bit, DisplayWidget",ASUS,699.99,699.99,,699.99,161.0,644.98,763.1024000000001,916.46,189.0,654.98,762.9818072289156,799.99,619.0,657.4,766.2304444444443,799.99
B0D685SYKN,"msi MPG 341CQPX QD-OLED 34-inch Curved OLED Gaming Monitor, 3440 x 1440 (UWQHD), 0.03ms Response time, 240Hz, True Black HDR 400, HDMI, DP Port, USB Type C, Tilt, Height Adjustable",msi,749.99,749.99,,749.99,244.0,654.49,716.3471428571428,749.99,248.0,663.4,710.6720000000001,749.99,463.0,663.4,695.9643564356436,749.99
B0D1DBQRRS,"SAMSUNG 32-Inch M8 (M80D) Series 4K UHD Smart Monitor with Streaming TV, Speakers, HDR10+, AI Upscaling, USB-C, Ergonomic Stand, SlimFit Camera, Gaming Hub, LS32DM801UNXZA, 2024",Samsung,665.09,665.09,,665.09,459.0,531.5,634.3903921568628,681.83,413.0,531.5,628.3951428571429,681.81,1054.0,531.5,648.6477611940297,681.83
B0D9R8YPK3,"Sony INZONE M9 II 27” 4K UHD (3840 x 2160) 160Hz Full Array LED 1ms GtG NVIDIA G-SYNC Gaming Monitor, DisplayHDR 600, Built-in Speakers, DisplayPort 2.1 (UHBR10) /VRR HDMI 2.1-3 Year Limited Warranty",Sony,,,,,73.0,848.0,848.0,848.0,83.0,948.0,948.0,948.0,373.0,949.99,949.99,949.99
B0DGMQ2M1G,"Dell G2725D Gaming Monitor - 27-inch QHD (2560x1440) up to 180 Hz, 2ms Response time, 99% RGB Display, DisplayPort/HDMI Connectivity, AMD FreeSync, Comfortview, Tilt Adjustable - Black",Dell,,,,,227.0,149.99,202.3938888888889,299.99,314.0,149.99,180.3176923076923,199.99,1137.0,149.99,176.27399999999997,199.99
B0D7NSZRJW,"ASUS ROG Strix 26.5” 1440P QD-OLED Gaming Monitor (XG27ACDNG) -QHD (2560x1440), 360Hz, 0.03ms, Custom Heatsink, OLED Care+, G-SYNC Compatible, 99% DCI-P3, DisplayWidget, AI Gaming, 3yr Warranty",ASUS,629.0,629.0,,629.0,226.0,629.0,709.1092857142855,747.99,369.0,629.0,649.0,669.0,700.0,629.0,702.7940000000001,747.99
B0DMPTN8DG,"LG 27GX790A-B 27-inch Ultragear OLED Gaming Monitor QHD 1440p 480Hz, 0.03ms, DisplayPort 2.1, True Black 400, NVIDIA G-Sync, AMD FreeSync Premium Pro, HDMI, USB, Tilt/Height/Swivel/Pivot Stand, Black",LG,693.5,680.0,,680.0,483.0,599.99,728.0710273972602,845.0,637.0,599.99,733.1815094339623,999.99,1509.0,685.94,748.7807246376811,996.99
B0DTJRWVVW,"msi MPG 322URX QD-OLED 32-inch 3840 x 2160 (UHD) Computer Monitor, 240Hz, Adaptive-Synch, HDMI, DP Port, VESA Mountable, Tilt, Speaker, 0.03ms, Black",msi,999.0,999.0,,999.0,92.0,949.99,1072.6308108108108,1166.49,190.0,949.99,979.8249999999999,1079.99,265.0,949.99,991.9916666666667,1079.99
B0CXW2BH8C,"Dell G2524H Gaming Monitor - 24.5-inch FHD (1920x1080) 280Hz 0.5Ms Display, AMD FreeSync+NVIDIA G-SYNC Adaptive Sync Technology, Height/Pivot/Swivel/Tilt Adjustability - Black",Dell,,299.99,,,178.0,249.0,267.2425,299.99,253.0,249.0,257.2425,259.99,1158.0,,,
